CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIN (ton),VALOR DE LA PRODUCCIN (pesos),VALOR PROD/SUPCOSECHADA
7,Chiapas,12,Berriozàbal,75500,Mandarina,10,69,"78,912","7,891"
15,M_xico,48,Jocotitlàn,75000,Semilla de maÕz grano,36,69,"2,108,558","58,981"
2,Baja California,1,Ensenada,51300,Alcachofa,6,69,"931,500","169,364"
8,Chihuahua,38,Julimes,57400,Calabacita,3,69,"207,000","69,000"
9,Distrito Federal,10,lvaro ObregÑn,82300,Pera,14,69,"603,750","43,750"
15,M_xico,107,Tonatico,54900,Avena forrajera en verde,5,69,"28,980","5,796"
10,Durango,23,Pueblo Nuevo,68400,Frijol,173,69,"692,000","4,000"
16,Michoacàn,97,Turicato,88800,Tamarindo,14,69,"385,970","27,569"
13,Hidalgo,81,Zacualtipàn de ngeles,59000,Cebada forrajera en verde,10,69,"40,229","3,944"
15,M_xico,20,Coacalco de Berriozàbal,54900,Avena forrajera en verde,4,69,"39,465","11,276"
14,Jalisco,26,ConcepciÑn de Buenos Aires,65300,Durazno,13,70,"828,992","63,769"
5,Coahuila,18,Monclova,74900,MaÕz grano,36,70,"227,656","6,413"
12,Guerrero,12,Ayutla de Los Libres,56900,Cacahuate,42,70,"369,894","8,807"
11,Guanajuato,32,San Jos_ Iturbide,68200,Fresa,3,70,"671,129","223,710"
1,Aguascalientes,8,San Jos_ de Gracia,54900,Avena forrajera en verde,9,70,"19,600","2,178"
8,Chihuahua,39,LÑpez,89700,Tomate rojo (jitomate),2,70,"315,000","157,500"
8,Chihuahua,44,Matamoros,90900,Triticale forrajero en verde,4,70,"24,150","6,900"
8,Chihuahua,67,Valle de Zaragoza,59400,Cebolla,2,70,"210,000","105,000"
11,Guanajuato,20,LeÑn,69400,Girasol,40,70,"435,000","10,875"
11,Guanajuato,31,San Francisco del RincÑn,50600,Aguacate,28,70,"686,000","24,500"
11,Guanajuato,37,Silao de La Victoria,84400,Poro,5,70,"257,600","51,520"
14,Jalisco,54,El LimÑn,89700,Tomate rojo (jitomate),2,70,"434,000","217,000"
14,Jalisco,85,Tamazula de Gordiano,58700,Càrtamo,25,70,"266,000","10,640"
15,M_xico,35,Huehuetoca,89700,Tomate rojo (jitomate),0,70,"791,000","3,955,000"
15,M_xico,67,Otzolotepec,75000,Semilla de maÕz grano,26,70,"2,467,500","94,904"
15,M_xico,90,Tenango del Valle,91100,Triticale grano,35,70,"217,000","6,200"
15,M_xico,121,Cuautitlàn Izcalli,89700,Tomate rojo (jitomate),0,70,"861,000","4,305,000"
16,Michoacàn,26,Chinicuila,89700,Tomate rojo (jitomate),5,70,"414,400","82,880"
16,Michoacàn,97,Turicato,56900,Cacahuate,28,70,"1,154,160","41,220"
